,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,EGFR_Sim,EGFR_Cmpd1_Sim,EGFR_Cmpd2_Sim,EGFR_Cmpd3_Sim,EGFR_Cmpd4_Sim,raw_EGFR_Sim,single,filter,score_time
0,REINFORCE,EGFR,1,0,0.4593498706817627,COC(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1ccccc1SCC(C)C,true,1,true,0,0.5374079850826796,0.0,3.9727000000000032,405.5410000000001,27.0,382.35700000000014,5.0,0.0,7.0,6.0,2.0,1.0,3.0,63.68,0.0,0.0,C20H23NO4S2,954.2041144336472,3.0,0.0,0.3913043478260869,0.3076923076923077,0.34285714285714286,0.3220338983050848,0.3913043478260869,0.3913043478260869,0.3913043478260869,1.0,1.2882764339447021
1,REINFORCE,EGFR,1,1,0.4593498706817627,Cc1cc(NC(=O)CCCn2cccn2)cc(C)c1F,true,1,true,0,0.9112496936599385,0.0,3.057940000000001,275.327,20.0,257.18299999999994,3.0,1.0,5.0,5.0,2.0,0.0,2.0,46.92,0.0,0.0,C15H18FN3O,570.166136216317,4.0,1.0,0.35593220338983056,0.28846153846153844,0.27142857142857146,0.35593220338983056,0.3188405797101449,0.35593220338983056,0.35593220338983056,1.0,1.2882764339447021
2,REINFORCE,EGFR,1,2,0.4593498706817627,Cc1noc(C)c1CNC(=O)C(C)NC(=O)C(N)C(=O)N1CCOCC1,true,1,true,0,0.5252769047632331,0.0,-1.4015599999999966,367.40600000000023,26.0,342.20600000000013,7.0,3.0,10.0,6.0,1.0,1.0,2.0,139.79,0.0,0.0,C16H25N5O5,648.4877813266107,2.0,0.0,0.42307692307692313,0.42307692307692313,0.3285714285714286,0.35593220338983056,0.33333333333333337,0.42307692307692313,0.42307692307692313,1.0,1.2882764339447021
3,REINFORCE,EGFR,1,3,0.4593498706817627,O=C(COc1ccc2c(c1)OCO2)NC(C(=O)NCc1ccccc1)C(=O)NNC(=O)c1ccncc1,true,1,true,0,0.24123284182275984,0.0,0.451500000000001,505.4870000000002,37.0,482.30300000000034,8.0,4.0,12.0,9.0,3.0,1.0,4.0,156.98000000000002,0.0,0.0,C25H23N5O7,1270.936894538842,3.0,0.0,0.3623188405797102,0.3076923076923077,0.30000000000000004,0.23728813559322037,0.3623188405797102,0.3623188405797102,0.3623188405797102,1.0,1.2882764339447021
4,REINFORCE,EGFR,1,4,0.4593498706817627,CC1=CC(=C(Cc2cncn2CCO)NCCCC(C)C)C(=O)C=C1,true,1,true,0,0.5343737565149687,0.0,2.7830000000000013,343.47100000000006,25.0,314.23900000000003,5.0,2.0,5.0,9.0,1.0,1.0,2.0,67.15,0.0,0.0,C20H29N3O2,680.8683155324358,7.0,0.0,0.4067796610169492,0.3076923076923077,0.4,0.4067796610169492,0.30434782608695654,0.4067796610169492,0.4067796610169492,1.0,1.2882764339447021
5,REINFORCE,EGFR,1,5,0.4593498706817627,C(C1N(CCCC(Nc2ccc(-c3occ(CN4CCN(c5ncccc5)CC4)c3C)=O)cc2)CCNC1=O)=O,false,0,true,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1.0,1.2882764339447021
6,REINFORCE,EGFR,1,6,0.4593498706817627,C=CCn1ccc(C(=O)Cn2cccn2)c1,true,1,true,0,0.562825516495251,0.0,1.7534999999999998,215.256,16.0,202.15199999999996,4.0,0.0,4.0,5.0,2.0,0.0,2.0,39.82,0.0,0.0,C12H13N3O,482.09676317029476,3.0,0.0,0.28985507246376807,0.25,0.2857142857142857,0.288135593220339,0.28985507246376807,0.28985507246376807,0.28985507246376807,1.0,1.2882764339447021
7,REINFORCE,EGFR,1,7,0.4593498706817627,C(CC1C2(C)C=C(C)C(=O)C3(OC(=O)C)CCC(C)(O3)OO2)C2(C)CCC(O)CC2CC1=O)C=C(C)C,false,0,true,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,1.0,1.2882764339447021
8,REINFORCE,EGFR,1,8,0.4593498706817627,COC(=O)CCN(C)CC1OC(=O)N(c2ccc(-n3nc(C)cc3C)c(F)c2)C1(C)C,true,1,true,0,0.6255352010666674,0.0,3.226940000000001,432.4960000000002,31.0,403.2640000000002,7.0,0.0,9.0,7.0,2.0,1.0,3.0,76.89999999999999,0.0,0.0,C22H29FN4O4,987.885675656317,5.0,1.0,0.37142857142857144,0.15384615384615385,0.37142857142857144,0.22033898305084743,0.34782608695652173,0.37142857142857144,0.37142857142857144,1.0,1.2882764339447021
9,REINFORCE,EGFR,1,9,0.4593498706817627,CCCCCCCCCNCCCc1ccccc1,true,1,true,0,0.524378069452223,0.0,4.959400000000005,261.453,19.0,230.20499999999996,1.0,1.0,1.0,12.0,1.0,0.0,1.0,12.03,0.0,0.0,C18H31N,281.0015741595725,12.0,0.0,0.2571428571428571,0.17307692307692313,0.2571428571428571,0.2542372881355932,0.2028985507246377,0.2571428571428571,0.2571428571428571,1.0,1.2882764339447021
