Cluster,Scaffold,SMILES,total_score,step
0,O=C(NC1CC2OC(CN3CCCCC3)CN2C1)c1cnn2ccccc12,O=C(NC1CC2OC(CN3CCCCC3)CN2C1)c1cnn2ccccc12,0.5191252944622492,1.0
1,c1cc(CN2CCCC2)c2nccnc2c1,CC(C)Nc1nc2c(CN3CC(O)C(C(C)F)C3)cc(F)cc2nc1C(N)=O,0.597959198207493,1.0
2,O=c1[nH]c(=O)c2nc(-c3ccccc3)[nH]c2[nH]1,CCCn1c(=O)n(C)c(=O)c2nc(-c3ccc(OC)c(F)c3)[nH]c21,0.5129897257213691,1.0
3,c1ccc(Cc2ccnc3ccccc23)cc1,Oc1cc(Cc2ccc(Cl)cc2)c2ccccc2n1,0.5448561421221623,1.0
4,c1ccc(NC2CCn3ccnc32)cc1,CC1CC(Nc2ccc(Cl)cc2)c2nc(C#N)cn21,0.6071607691531413,1.0
5,c1ccc(-c2c[nH]c(CCc3cn4ccccc4n3)n2)nc1,N#Cc1cccn2cc(CCc3nc(-c4ccccn4)c[nH]3)nc12,0.5527316989492912,1.0
6,c1ncc2nc[nH]c2n1,CC(C)Cc1nc(N)nc2c1ncn2CCN(C)C,0.5211969805223094,1.0
7,O=C(NC1CC2CCC1C2)c1ccc(OCc2ccccc2)cn1,COc1ccc(COc2ccc(C(=O)NC3C(C(=O)O)C4(C)CCC3(C)C4)nc2)c(F)c1,0.5725283499202959,1.0
8,c1ccc(Cc2sc(Cc3ccccc3)c3ccccc23)cc1,O=C(NO)c1ccc(Cc2sc(Cc3ccccc3)c3c(F)cccc23)c(F)c1,0.5812570317326876,1.0
9,c1ccc(Cc2ccccc2)cc1,CC(C)COc1ccc(Cc2ccccc2)cc1,0.765120509038618,1.0
9,c1ccc(Cc2ccccc2)cc1,CCC(C)(c1ccccc1)c1ccc(O)cc1,0.5360558332386911,44.0
9,c1ccc(Cc2ccccc2)cc1,COc1c(C)c(SC)cc(C)c1Cc1c(C)cc(O)cc1O,0.5792661409576314,47.0
9,c1ccc(Cc2ccccc2)cc1,COc1cc(O)ccc1Cc1ccccc1,0.6275744337404474,47.0
9,c1ccc(Cc2ccccc2)cc1,COc1cc(C(=O)O)ccc1Cc1cc(Cl)ccc1Cl,0.5689016212930161,49.0
9,c1ccc(Cc2ccccc2)cc1,C#CCOc1ccc(Cc2ccccc2)cc1,0.5683627049501004,85.0
9,c1ccc(Cc2ccccc2)cc1,COc1cc(O)c(C(O)c2c(O)cc(C=C(C)C)c(OC)c2OC)cc1OC,0.593785692347503,101.0
9,c1ccc(Cc2ccccc2)cc1,CCCc1ccc(Cc2ccc(N)c(OC)c2)cc1,0.7219272055842636,117.0
9,c1ccc(Cc2ccccc2)cc1,CCOc1ccc(Cc2ccc([O-])cc2N)cc1Cl,0.5082937421213304,171.0
9,c1ccc(Cc2ccccc2)cc1,FC(F)(F)COc1ccc(Cc2ccccc2)cc1,0.6180001838136764,250.0
9,c1ccc(Cc2ccccc2)cc1,CCOc1ccc(Cc2ccccc2)c(OC)c1,0.5059448580804162,257.0
